Step,PotEng,Press,KinEng,Temp,Lx,Ly,Lz,Pxx,Pyy,Pzz,SPCPU,Density
2971.0,186.69271,5419.7883,3948.8281,250.0,106.89119,106.89119,106.89119,5460.8603,5376.2733,5422.2314,0.0,1.6966378
3000.0,2890.7285,6040.7547,3681.0574,233.04746,106.89119,106.89119,106.89119,6099.4955,5982.7041,6040.0644,307.01517,1.6966378
4000.0,4020.0071,6410.113,4001.5409,253.33724,106.89119,106.89119,106.89119,6490.1979,6331.409,6408.7321,365.46404,1.6966378
5000.0,4117.4572,6428.3724,3967.696,251.19453,106.89119,106.89119,106.89119,6527.459,6366.7583,6390.8999,383.01615,1.6966378
6000.0,4060.2817,6392.8254,3934.0307,249.06318,106.89119,106.89119,106.89119,6409.5706,6391.0857,6377.8199,366.95281,1.6966378
7000.0,4094.8636,6413.8546,3988.8227,252.53205,106.89119,106.89119,106.89119,6464.3258,6373.3488,6403.8892,358.58351,1.6966378
8000.0,4175.0614,6458.9068,4046.6118,256.19068,106.89119,106.89119,106.89119,6512.0386,6417.0113,6447.6707,371.40454,1.6966378
9000.0,4136.6141,6440.2255,3975.9678,251.71821,106.89119,106.89119,106.89119,6405.367,6423.5566,6491.7529,360.38767,1.6966378
10000.0,4091.1581,6412.9702,4017.6994,254.36024,106.89119,106.89119,106.89119,6460.6542,6396.5715,6381.6848,349.73326,1.6966378
11000.0,4138.4958,6402.7355,3951.7732,250.18645,106.89119,106.89119,106.89119,6456.9009,6381.0284,6370.2772,356.54244,1.6966378
12000.0,3987.7645,6404.2268,4024.7414,254.80606,106.89119,106.89119,106.89119,6396.1643,6353.0451,6463.4708,372.18745,1.6966378
13000.0,4028.6107,6432.3821,4005.0146,253.55716,106.89119,106.89119,106.89119,6469.8067,6437.1218,6390.2177,361.93125,1.6966378
14000.0,4000.1995,6415.3668,3947.5556,249.91943,106.89119,106.89119,106.89119,6458.3516,6366.6885,6421.0601,352.14456,1.6966378
15000.0,3914.4598,6376.0791,3918.813,248.09975,106.89119,106.89119,106.89119,6335.8111,6342.6111,6449.8152,357.36497,1.6966378
16000.0,4031.2452,6406.3797,3937.7686,249.29982,106.89119,106.89119,106.89119,6453.4393,6392.9309,6372.7688,363.04912,1.6966378
17000.0,3916.3078,6381.0604,3888.1362,246.1576,106.89119,106.89119,106.89119,6417.6591,6331.3915,6394.1305,375.91948,1.6966378
18000.0,3923.1026,6384.1827,3905.2669,247.24214,106.89119,106.89119,106.89119,6423.7751,6392.2259,6336.5471,355.71295,1.6966378
