Step,PotEng,Press,KinEng,Temp,Lx,Ly,Lz,Pxx,Pyy,Pzz,SPCPU,Density
5002971.0,1738.6666,5816.4525,4029.6099,255.11429,106.89119,106.89119,106.89119,5831.4134,5858.1682,5759.7758,0.0,1.6966378
5003000.0,1783.7224,5783.2708,3937.9512,249.31138,106.89119,106.89119,106.89119,5849.4914,5793.1302,5707.191,238.3756,1.6966378
5004000.0,1806.2487,5795.9539,3899.9556,246.90588,106.89119,106.89119,106.89119,5844.2212,5796.8302,5746.8103,346.88146,1.6966378
5005000.0,1750.6045,5787.691,3998.5555,253.14824,106.89119,106.89119,106.89119,5837.3252,5782.2563,5743.4916,326.32255,1.6966378
5006000.0,1795.5473,5801.1141,3888.4571,246.17792,106.89119,106.89119,106.89119,5828.8003,5801.0225,5773.5197,339.33989,1.6966378
5007000.0,1685.9172,5770.1412,4010.7913,253.92289,106.89119,106.89119,106.89119,5751.443,5801.026,5757.9545,344.49366,1.6966378
5008000.0,1748.9865,5791.7901,3989.3236,252.56377,106.89119,106.89119,106.89119,5843.1636,5763.065,5769.1418,350.35859,1.6966378
5009000.0,1789.8334,5803.4273,3967.0709,251.15495,106.89119,106.89119,106.89119,5855.897,5784.9325,5769.4524,367.45754,1.6966378
5010000.0,1740.9208,5783.6388,3923.1438,248.37393,106.89119,106.89119,106.89119,5825.613,5816.6574,5708.6461,406.97272,1.6966378
5011000.0,1723.8761,5812.6463,3890.0255,246.27721,106.89119,106.89119,106.89119,5848.3037,5745.9393,5843.6959,422.20573,1.6966378
5012000.0,1729.8396,5790.4953,3936.7025,249.23233,106.89119,106.89119,106.89119,5818.2697,5794.266,5758.9501,424.6969,1.6966378
5013000.0,1741.8145,5791.4477,3949.3988,250.03613,106.89119,106.89119,106.89119,5868.3693,5790.2439,5715.73,479.49683,1.6966378
5014000.0,1801.9768,5809.207,4002.5017,253.39807,106.89119,106.89119,106.89119,5885.9657,5801.6571,5739.9981,480.32994,1.6966378
5015000.0,1636.2175,5767.3868,3962.1431,250.84297,106.89119,106.89119,106.89119,5793.8678,5770.0442,5738.2484,473.90918,1.6966378
5016000.0,1717.1333,5790.7221,3875.0435,245.3287,106.89119,106.89119,106.89119,5822.4439,5766.2382,5783.4842,366.79665,1.6966378
5017000.0,1845.178,5836.3151,3978.6376,251.88724,106.89119,106.89119,106.89119,5903.6097,5812.8978,5792.4378,370.02663,1.6966378
5018000.0,1706.5937,5788.0856,3932.3267,248.9553,106.89119,106.89119,106.89119,5836.0499,5767.6638,5760.5431,360.06242,1.6966378
5019000.0,1751.8246,5803.6411,3941.3568,249.52699,106.89119,106.89119,106.89119,5863.6467,5800.7882,5746.4883,395.40987,1.6966378
5020000.0,1731.4801,5790.0757,3892.128,246.41032,106.89119,106.89119,106.89119,5811.9967,5764.0671,5794.1634,415.36822,1.6966378
5021000.0,1766.2152,5779.342,3943.0584,249.63472,106.89119,106.89119,106.89119,5812.3869,5807.8706,5717.7684,412.61327,1.6966378
5022000.0,1716.7421,5780.4579,3965.9577,251.08447,106.89119,106.89119,106.89119,5835.784,5741.5119,5764.0779,374.82997,1.6966378
5023000.0,1780.8797,5810.7383,3973.8984,251.5872,106.89119,106.89119,106.89119,5910.4325,5762.277,5759.5054,392.19282,1.6966378
5024000.0,1702.7831,5777.9088,3825.2846,242.17847,106.89119,106.89119,106.89119,5848.0735,5721.5622,5764.0907,390.03466,1.6966378
5025000.0,1710.3868,5788.5606,3960.5948,250.74495,106.89119,106.89119,106.89119,5855.9363,5757.0283,5752.7172,392.52522,1.6966378
5026000.0,1748.8054,5800.2618,3959.7408,250.69088,106.89119,106.89119,106.89119,5828.1568,5757.3555,5815.273,442.9565,1.6966378
5027000.0,1693.3328,5791.9779,3974.1885,251.60556,106.89119,106.89119,106.89119,5858.9477,5774.085,5742.9011,447.17601,1.6966378
5028000.0,1805.0639,5784.6905,3992.3764,252.75704,106.89119,106.89119,106.89119,5834.4843,5752.6555,5766.9318,438.42,1.6966378
5029000.0,1717.6338,5787.96,3913.6455,247.77259,106.89119,106.89119,106.89119,5832.7348,5785.1675,5745.9777,330.45733,1.6966378
5030000.0,1668.3921,5781.6856,3960.325,250.72787,106.89119,106.89119,106.89119,5811.7224,5792.3838,5740.9507,375.56757,1.6966378
5031000.0,1755.3706,5800.431,3989.1515,252.55287,106.89119,106.89119,106.89119,5901.9089,5717.9175,5781.4665,383.95602,1.6966378
5032000.0,1717.4056,5793.6479,4015.4093,254.21525,106.89119,106.89119,106.89119,5842.0724,5781.5739,5757.2975,411.11886,1.6966378
5033000.0,1747.4871,5781.3396,3976.117,251.72766,106.89119,106.89119,106.89119,5906.149,5764.247,5673.6228,436.21762,1.6966378
